AUC,ROC_mlp,PRC_mlp,ROC_svm,PRC_svm
GO:0005921,0.6862068966,0.0140889915,0.2404388715,0.0024059168
GO:0005924,0.9370518644,0.7143589744,0.2,0.2015656826
GO:0005929,0.7910161267,0.0277671255,0.1410909288,0.0020819389
GO:0005938,0.8821065634,0.0320785146,0.1980170076,0.0021553919
GO:0008021,0.8565922031,0.1060811661,0.684379639,0.062130107
GO:0008023,0.8910417169,0.239817662,0.2455143379,0.0026998246
GO:0008180,0.9602961504,0.1884033856,0.9349599637,0.0731101922
GO:0009986,0.9918487916,0.7557622739,0.9731738705,0.0867604046
GO:0010369,0.8899301956,0.1557925075,0.310108804,0.0085877558
GO:0012505,0.967845209,0.1094298246,0.5852349621,0.0168507811
GO:0015629,0.8673534073,0.1037326438,0.4480190174,0.0162078966
GO:0015630,0.8647244094,0.2122499679,0.5653543307,0.0313176772
GO:0016020,0.9616214375,0.7866516831,0.9259834979,0.4073342499
GO:0016021,0.8995339954,0.6829655464,0.8093124523,0.1889538103
GO:0016023,0.8597634857,0.1286408997,0.2517743944,0.0081598023
GO:0016027,0.8992387659,0.1794763494,0.4531331948,0.0132634756
GO:0016028,0.8993602457,0.3007700236,0.2130000541,0.008485604
GO:0016323,0.8036786309,0.1398868774,0.5737640031,0.0246860651
GO:0016324,0.7855572998,0.1270891474,0.0927786499,0.0025925145
GO:0016327,0.8313417191,0.2069388125,0.0554507338,0.0032747822
GO:0016459,0.6487613372,0.0378838202,0.0818799427,0.0022052107
GO:0016460,0.9384615385,0.5742544547,0.5623233909,0.1435838497
GO:0016461,0.8489028213,0.014673869,0.3385579937,0.00544183
GO:0016469,0.9454545455,0.4076584507,0.9918495298,0.5296703297
GO:0016591,0.8464678179,0.4251660511,0.0514913658,0.0024893145
GO:0016592,0.8882834646,0.3003545572,0.7298986065,0.0372994753
GO:0016604,0.9456686704,0.8835600313,0.9532770561,0.1151623156
GO:0017053,0.8584053877,0.1835299907,0.9307859628,0.2942526413
GO:0019866,0.8968602826,0.0421628576,0.9372056515,0.0474976457
GO:0019897,0.7919152276,0.0406772954,0.3387297432,0.0036728888
GO:0019898,0.7430094389,0.1227077182,0.0620992664,0.0028204378
GO:0030016,0.7652756797,0.0732665041,0.0963016169,0.0032352504
GO:0030017,0.9479655191,0.0794058993,0.2023831739,0.0036464992
GO:0030018,0.8894780796,0.2190320734,0.2023831739,0.0036464992
GO:0030054,0.8348762075,0.1007546715,0.2424688612,0.0028617904
GO:0030055,0.818660768,0.2217321905,0.1082312252,0.0095697954
GO:0030135,0.9358702873,0.0494290227,0.1410909288,0.0020819389
GO:0030136,0.9412677843,0.1861380009,0.2618618129,0.0035805039
GO:0030139,0.9231102456,0.0949219171,0.262360169,0.0033637946
GO:0030312,0.9262793361,0.062648653,0.3185781424,0.0051640701
GO:0030424,0.8670738129,0.3660736903,0.0500019685,0.0019783346
GO:0030425,0.7994646945,0.1042251641,0.7172755515,0.0685537784
GO:0030496,0.6238210835,0.164191589,0.2747319357,0.0159426662
GO:0030529,0.8053670467,0.1144981438,0.7315521917,0.0412018689
GO:0030880,0.9409808976,0.4981338229,0.8871665048,0.2591053501
GO:0030894,0.9051472466,0.3106674069,0.9160403388,0.0888796965
GO:0031010,0.9789968652,0.2566760037,0.2206896552,0.0048857889
GO:0031011,0.9144200627,0.0291632974,0.9018808777,0.0169001265
GO:0031012,0.7763278593,0.2341514938,0.5602788837,0.0199759275
GO:0031090,0.8049114856,0.1034771157,0.2999471777,0.0050342595
GO:0031224,0.8872498559,0.0991472748,0.4503143776,0.0123584352
GO:0031226,0.7825149183,0.2219475487,0.3516560101,0.0116685554
GO:0031252,0.7814802985,0.244634205,0.0519435365,0.0035980379
GO:0031253,0.8556391884,0.5268994211,0.0929491691,0.0022506815
GO:0031300,0.7266216542,0.1564015534,0.2658563112,0.1023345914
GO:0031410,0.6576802508,0.0064392967,0.2927899687,0.0022342142
GO:0031430,0.9070612733,0.1381922835,0.5800888828,0.0207527419
GO:0031514,0.9278996865,0.0882532068,0.2269592476,0.0020309221
GO:0031519,0.8921630094,0.0173431799,0.2031347962,0.0019666687
GO:0031523,0.9570230608,0.1005064308,0.928721174,0.054443581
GO:0031594,0.8811828566,0.0847294794,0.9495076352,0.0571354452
GO:0031672,0.8548764423,0.0586101645,0.4202096023,0.0226367713
GO:0031674,0.8392774713,0.0534650165,0.2600704714,0.0025616483
GO:0031965,0.8913709443,0.1827484791,0.2424688612,0.0028617904
GO:0031966,0.8147672525,0.0128502487,0.2135608234,0.0021938438
GO:0031967,0.8980174997,0.0464863207,0.3237506336,0.0038591651
GO:0031970,0.8792247498,0.1121678763,0.3481542831,0.0129094071
GO:0031974,0.7742946708,0.0143124051,0.2567398119,0.0021211602
GO:0031975,0.9545470085,0.7667865088,0.9123589744,0.2796815141
GO:0031981,0.8729066603,0.1064192081,0.5361206379,0.0186608325
GO:0031982,0.9528026675,0.7778997031,0.9202002096,0.2849595987
GO:0031984,0.9056948813,0.115822141,0.7763947333,0.026953947
GO:0031985,0.8980315251,0.0279883729,0.2394241227,0.0026286848
GO:0031988,0.8801976349,0.0494912034,0.2190422878,0.002199134
GO:0032991,0.8800533736,0.1384712966,0.5272789929,0.0142641779
GO:0032993,0.9827173073,0.948083265,0.8870862905,0.4609427025
GO:0033176,0.9858801297,0.2864872768,0.7660615247,0.0306910293
GO:0033181,0.8215070644,0.1468402335,0.0514913658,0.0024893145
GO:0033202,0.7394034537,0.4039654158,0.0514913658,0.0024893145
GO:0033267,0.9601644661,0.2335978836,0.9342600749,0.0557503835
GO:0034399,0.7103773585,0.0348369488,0.1571278826,0.0036519156
GO:0034708,0.9494505495,0.0725555074,0.7403453689,0.0179297648
GO:0035003,0.8290196775,0.166354506,0.9331702589,0.0741768084
GO:0035097,0.8934169279,0.0283466839,0.1219435737,0.0018055992
GO:0035098,0.9351334051,0.1949366718,0.9331702589,0.0741768084
GO:0035102,0.925630035,0.1785766277,0.9393284056,0.0812411539
GO:0035267,0.9376175549,0.0528488971,0.597492163,0.0503864936
GO:0035327,0.9032088601,0.0471867387,0.7162290911,0.0131374374
GO:0035770,0.9532900597,0.2816605279,0.7583101627,0.0420915481
GO:0042175,0.932580721,0.2690443252,0.8891216015,0.0523506608
GO:0042995,0.9073346465,0.059843532,0.2213446482,0.0031771172
GO:0043005,0.8300404618,0.2406122379,0.4278356638,0.0470922453
GO:0043025,0.7219819458,0.1361918251,0.4194605966,0.0431146382
GO:0043073,0.6985345389,0.0396528545,0.3006895104,0.0060496606
GO:0043186,0.9499975394,0.1510179719,0.9017192167,0.1494209805
GO:0043189,0.8904238619,0.2803753194,0.919466248,0.152799408
GO:0043195,0.938973588,0.0520645013,0.7588623199,0.0228883783
GO:0043226,0.7161695447,0.0331675122,0.1425431711,0.0027126242
GO:0043227,0.9972013239,0.9966309849,0.9857041302,0.9601333026
GO:0043228,0.991562204,0.9834182422,0.9732665161,0.9096627419
GO:0043229,0.94960217,0.8394860872,0.8906216094,0.3807699413
GO:0043231,0.9943329903,0.9940598987,0.9855382318,0.9596915309
GO:0043232,0.9954324568,0.9898813023,0.9732533293,0.9096460124
GO:0043233,0.9924321881,0.9771802946,0.8906283906,0.3808093956
GO:0043234,0.96895525,0.8129241699,0.9162536124,0.2820565928
GO:0043235,0.9767097596,0.9303174608,0.8806804262,0.3956407505
GO:0043292,0.658435653,0.1039064685,0.282341058,0.0032163675
GO:0043296,0.9405660377,0.1068567913,0.2068134172,0.0038782783
GO:0043596,0.8729133858,0.1227099585,0.0775590551,0.0041691002
GO:0043601,0.9614420063,0.0554771757,0.5755485893,0.0150411506
GO:0043679,0.9764890282,0.4266427547,0.2332288401,0.0068812558
GO:0044297,0.7909693631,0.0350005086,0.1966791893,0.0034166886
GO:0044306,0.5913752548,0.0360417009,0.2735416947,0.0064729024
GO:0044420,0.7005945387,0.0261306947,0.1966791893,0.0034166886
